dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,78.764199,96.977961,0.000048,0.004798,0.239889,11.994426,6.229042
0.020000,78.764121,96.977965,0.000126,0.003887,-0.045532,-14.271018,6.229036
0.020000,78.763946,96.977974,0.000301,0.008746,0.242944,14.423786,6.229025
0.020000,78.763636,96.977991,0.000612,0.015548,0.340116,4.858603,6.229004
0.020000,78.763151,96.978017,0.001097,0.024294,0.437280,4.858180,6.228972
0.020000,78.762452,96.978055,0.001797,0.034983,0.534429,4.857488,6.228925
0.020000,78.761501,96.978107,0.002749,0.047614,0.631558,4.856459,6.228862
0.020000,78.760259,96.978175,0.003993,0.062187,0.728659,4.855023,6.228779
0.020000,78.758688,96.978260,0.005567,0.078701,0.825721,4.853113,6.228674
0.020000,78.756747,96.978366,0.007510,0.097156,0.922734,4.850659,6.228544
0.020000,78.754400,96.978495,0.009861,0.117550,1.019686,4.847589,6.228387
0.020000,78.751607,96.978648,0.012659,0.139881,1.116563,4.843832,6.228201
0.020000,78.748329,96.978829,0.015942,0.164148,1.213349,4.839313,6.227982
0.020000,78.744527,96.979040,0.019749,0.190348,1.310028,4.833956,6.227728
0.020000,78.749411,96.978768,0.024640,0.244542,2.709697,69.983436,6.227437
0.020000,78.756711,96.978359,0.031951,0.365572,6.051477,167.089026,6.227105
0.020000,78.764951,96.977895,0.040204,0.412667,2.354770,-184.835372,6.226731
0.020000,78.774189,96.977371,0.049457,0.462618,2.497530,7.138020,6.226312
0.020000,78.784484,96.976782,0.059769,0.515628,2.650495,7.648246,6.225845
0.020000,78.795891,96.976125,0.071195,0.571278,2.782520,6.601226,6.225327
0.020000,78.808467,96.975393,0.083793,0.629880,2.930081,7.378081,6.224756
0.020000,78.822272,96.974581,0.097621,0.691412,3.076579,7.324890,6.224130
0.020000,78.837359,96.973684,0.112735,0.755693,3.214081,6.875074,6.223446
0.020000,78.853789,96.972695,0.129195,0.823002,3.365458,7.568869,6.222701
0.020000,78.871618,96.971608,0.147056,0.893080,3.503879,6.921031,6.221892
0.020000,78.890902,96.970416,0.166377,0.966044,3.648194,7.215782,6.221018
0.020000,78.911702,96.969111,0.187218,1.042041,3.799881,7.584335,6.220076
0.020000,78.934072,96.967686,0.209634,1.120780,3.936911,6.851512,6.219063
0.020000,78.958071,96.966132,0.233683,1.202449,4.083480,7.328449,6.217976
0.020000,78.983756,96.964440,0.259424,1.287052,4.230137,7.332833,6.216813
0.020000,79.011187,96.962599,0.286916,1.374612,4.377987,7.392526,6.215572
0.020000,79.040420,96.960601,0.316217,1.465077,4.523248,7.263036,6.214251
0.020000,79.071513,96.958432,0.347386,1.558452,4.668743,7.274765,6.212845
0.020000,79.104526,96.956081,0.380483,1.654836,4.819231,7.524385,6.211354
