dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,78.764199,96.977961,0.000048,0.004788,0.239421,11.971037,6.229042
0.020000,78.764121,96.977965,0.000125,0.003880,-0.045443,-14.243189,6.229036
0.020000,78.763947,96.977974,0.000300,0.008729,0.242470,14.395660,6.229025
0.020000,78.763637,96.977991,0.000610,0.015518,0.339453,4.849129,6.229004
0.020000,78.763153,96.978017,0.001095,0.024247,0.436427,4.848708,6.228972
0.020000,78.762456,96.978055,0.001794,0.034914,0.533387,4.848019,6.228925
0.020000,78.761507,96.978107,0.002744,0.047521,0.630327,4.846993,6.228862
0.020000,78.760267,96.978174,0.003985,0.062066,0.727238,4.845564,6.228779
0.020000,78.758698,96.978260,0.005556,0.078548,0.824112,4.843661,6.228674
0.020000,78.756762,96.978366,0.007496,0.096967,0.920936,4.841216,6.228545
0.020000,78.754419,96.978494,0.009842,0.117321,1.017699,4.838159,6.228389
0.020000,78.751631,96.978647,0.012634,0.139608,1.114387,4.834416,6.228203
0.020000,78.748360,96.978827,0.015911,0.163828,1.210986,4.829915,6.227984
0.020000,78.744566,96.979038,0.019710,0.189978,1.307477,4.824579,6.227731
0.020000,78.749342,96.978772,0.024494,0.239167,2.459488,57.600529,6.227440
0.020000,78.756628,96.978364,0.031791,0.364859,6.284603,191.255750,6.227109
0.020000,78.764852,96.977901,0.040028,0.411863,2.350183,-196.721020,6.226736
0.020000,78.774071,96.977378,0.049262,0.461714,2.492532,7.117481,6.226317
0.020000,78.784347,96.976790,0.059555,0.514623,2.645467,7.646740,6.225851
0.020000,78.795731,96.976134,0.070958,0.570165,2.777102,6.581750,6.225334
0.020000,78.808283,96.975403,0.083531,0.628649,2.924178,7.353815,6.224765
0.020000,78.822061,96.974593,0.097332,0.690064,3.070790,7.330607,6.224140
0.020000,78.837118,96.973698,0.112417,0.754216,3.207562,6.838596,6.223457
0.020000,78.853517,96.972711,0.128845,0.821399,3.359175,7.580626,6.222713
0.020000,78.871310,96.971627,0.146671,0.891334,3.496735,6.878011,6.221906
0.020000,78.890557,96.970437,0.165955,0.964162,3.641428,7.234666,6.221034
0.020000,78.911316,96.969136,0.186755,1.040004,3.792101,7.533635,6.220093
0.020000,78.933643,96.967714,0.209127,1.118588,3.929195,6.854717,6.219082
0.020000,78.957594,96.966163,0.233128,1.200098,4.075481,7.314300,6.217998
0.020000,78.983230,96.964475,0.258819,1.284535,4.221855,7.318666,6.216837
0.020000,79.010607,96.962639,0.286258,1.371936,4.370059,7.410212,6.215599
0.020000,79.039783,96.960644,0.315502,1.462213,4.513819,7.188013,6.214279
0.020000,79.070816,96.958481,0.346610,1.555405,4.659611,7.289588,6.212877
0.020000,79.103764,96.956136,0.379642,1.651585,4.808988,7.468832,6.211389
0.020000,79.138686,96.953597,0.414656,1.750717,4.956605,7.380892,6.209812
0.020000,79.175640,96.950849,0.451712,1.852777,5.102991,7.319273,6.208146
0.020000,79.214683,96.947879,0.490868,1.957789,5.250633,7.382081,6.206386
0.020000,79.255876,96.944671,0.532185,2.065884,5.404750,7.705885,6.204531
0.020000,79.299278,96.941208,0.575725,2.176989,5.555244,7.524690,6.202578
0.020000,79.344946,96.937471,0.621546,2.291073,5.704184,7.446983,6.200525
0.020000,79.392943,96.933443,0.669712,2.408284,5.860549,7.818286,6.198370
0.020000,79.443329,96.929102,0.720284,2.528596,6.015616,7.753337,6.196110
0.020000,79.496161,96.924427,0.773323,2.651954,6.167911,7.614740,6.193743
0.020000,79.551503,96.919394,0.828893,2.778497,6.327136,7.961231,6.191268
0.020000,79.609415,96.913981,0.887058,2.908245,6.487423,8.014347,6.188681
0.020000,79.669961,96.908159,0.947883,3.041224,6.648924,8.075080,6.185981
0.020000,79.733201,96.901903,1.011432,3.177460,6.811810,8.144274,6.183166
0.020000,79.799199,96.895182,1.077771,3.316985,6.976266,8.222824,6.180234
0.020000,79.868019,96.887965,1.146968,3.459835,7.142499,8.311667,6.177182
0.020000,79.939726,96.880220,1.219092,3.606194,7.317948,8.772430,6.174010
0.020000,80.014355,96.871916,1.294182,3.754510,7.415805,4.892852,6.170716
0.020000,80.091917,96.863021,1.372253,3.903517,7.450309,1.725209,6.167302
0.020000,80.172420,96.853506,1.453315,4.053139,7.481119,1.540467,6.163767
0.020000,80.255874,96.843338,1.537387,4.203588,7.522462,2.067148,6.160115
0.020000,80.342292,96.832483,1.624484,4.354863,7.563748,2.064316,6.156344
0.020000,80.431685,96.820906,1.714624,4.506965,7.605082,2.066708,6.152457
0.020000,80.524066,96.808572,1.807824,4.660014,7.652467,2.369267,6.148456
0.020000,80.619450,96.795442,1.904107,4.814162,7.707406,2.746908,6.144340
0.020000,80.717850,96.781479,2.003493,4.969314,7.757562,2.507832,6.140112
0.020000,80.819282,96.766642,2.106005,5.125590,7.813814,2.812605,6.135773
0.020000,80.923767,96.750889,2.211671,5.283285,7.884782,3.548381,6.131325
0.020000,81.031319,96.734179,2.320514,5.442130,7.942226,2.872192,6.126770
0.020000,81.141961,96.716466,2.432564,5.602507,8.018856,3.831506,6.122109
0.020000,81.255712,96.697704,2.547851,5.764380,8.093642,3.739283,6.117345
0.020000,81.372593,96.677848,2.666408,5.927822,8.172122,3.924033,6.112480
0.020000,81.492630,96.656849,2.788267,6.092972,8.257501,4.268937,6.107516
0.020000,81.615845,96.634656,2.913466,6.259916,8.347162,4.483045,6.102455
0.020000,81.742266,96.611218,3.042041,6.428759,8.442171,4.750461,6.097300
0.020000,81.871921,96.586483,3.174034,6.599668,8.545436,5.163264,6.092053
0.020000,82.004837,96.560396,3.309486,6.772574,8.645308,4.993594,6.086718
0.020000,82.141045,96.532901,3.448441,6.947784,8.760508,5.759994,6.081297
0.020000,82.280576,96.503942,3.590946,7.125233,8.872436,5.596381,6.075794
0.020000,82.423465,96.473458,3.737050,7.305211,8.998922,6.324327,6.070211
0.020000,82.569745,96.441390,3.886804,7.487680,9.123456,6.226683,6.064553
0.020000,82.719452,96.407676,4.040260,7.672805,9.256232,6.638811,6.058822
