dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,80.387716,126.933998,0.000048,0.004776,0.238791,11.939545,6.229042
0.020000,80.387793,126.933994,0.000125,0.003869,-0.045323,-14.205720,6.229036
0.020000,80.387967,126.933985,0.000299,0.008706,0.241832,14.357790,6.229025
0.020000,80.388276,126.933968,0.000609,0.015477,0.338560,4.836373,6.229004
0.020000,80.388759,126.933942,0.001092,0.024183,0.435279,4.835955,6.228972
0.020000,80.389454,126.933904,0.001789,0.034822,0.531984,4.835269,6.228926
0.020000,80.390401,126.933853,0.002737,0.047396,0.628669,4.834249,6.228862
0.020000,80.391637,126.933785,0.003975,0.061902,0.725326,4.832827,6.228780
0.020000,80.393201,126.933700,0.005542,0.078341,0.821944,4.830934,6.228675
0.020000,80.395133,126.933594,0.007476,0.096712,0.918515,4.828503,6.228546
0.020000,80.397469,126.933466,0.009816,0.117012,1.015024,4.825461,6.228390
0.020000,80.400250,126.933314,0.012601,0.139241,1.111458,4.821738,6.228205
0.020000,80.403513,126.933134,0.015869,0.163397,1.207804,4.817261,6.227987
0.020000,80.407297,126.932924,0.019659,0.189478,1.304043,4.811953,6.227734
0.020000,80.420616,126.932183,0.032998,0.666976,23.874901,1128.542904,6.227444
0.020000,80.437765,126.931223,0.050174,0.858821,9.592246,-714.132724,6.227114
0.020000,80.457123,126.930133,0.069562,0.969393,5.528602,-203.182235,6.226742
0.020000,80.478820,126.928902,0.091295,1.086632,5.861923,16.666045,6.226324
0.020000,80.503002,126.927520,0.115516,1.211054,6.221135,17.960602,6.225859
0.020000,80.529790,126.925976,0.142349,1.341626,6.528609,15.373731,6.225344
0.020000,80.559321,126.924257,0.171930,1.479063,6.871829,17.161006,6.224776
0.020000,80.591733,126.922352,0.204397,1.623371,7.215415,17.179302,6.224152
0.020000,80.627151,126.920247,0.239878,1.774024,7.532611,15.859785,6.223471
0.020000,80.665716,126.917927,0.278513,1.931770,7.887303,17.734588,6.222730
0.020000,80.707556,126.915377,0.320430,2.095864,8.204733,15.871523,6.221925
0.020000,80.752804,126.912582,0.365765,2.266708,8.542189,16.872780,6.221055
0.020000,80.801598,126.909524,0.414654,2.444478,8.888495,17.315295,6.220117
0.020000,80.854063,126.906184,0.467226,2.628584,9.205294,15.839957,6.219108
0.020000,80.910334,126.902543,0.523614,2.819416,9.541614,16.816026,6.218027
0.020000,80.970543,126.898579,0.583953,3.016955,9.876965,16.767532,6.216869
0.020000,81.034824,126.894270,0.648379,3.221302,10.217327,17.018086,6.215634
0.020000,81.103307,126.889592,0.717021,3.432099,10.539873,16.127307,6.214318
0.020000,81.176121,126.884518,0.790012,3.649524,10.871251,16.568920,6.212919
0.020000,81.253398,126.879021,0.867484,3.873620,11.204759,16.675403,6.211435
0.020000,81.335270,126.873072,0.949572,4.104413,11.539678,16.745934,6.209863
0.020000,81.421865,126.866639,1.036405,4.341653,11.861994,16.115812,6.208200
0.020000,81.513309,126.859689,1.128113,4.585395,12.187113,16.255928,6.206445
0.020000,81.609734,126.852185,1.224830,4.835817,12.521061,16.697409,6.204595
0.020000,81.711269,126.844089,1.326687,5.092890,12.853654,16.629643,6.202647
0.020000,81.818037,126.835361,1.433811,5.356189,13.164990,15.566786,6.200600
0.020000,81.930169,126.825958,1.546337,5.626289,13.504968,16.998901,6.198450
0.020000,82.047789,126.815834,1.664391,5.902718,13.821449,15.824071,6.196196
0.020000,82.171018,126.804941,1.788101,6.185499,14.139075,15.881322,6.193836
0.020000,82.299982,126.793227,1.917597,6.474773,14.463664,16.229438,6.191367
0.020000,82.434805,126.780637,2.053006,6.770472,14.784979,16.065753,6.188787
0.020000,82.575608,126.767115,2.194457,7.072528,15.102811,15.891583,6.186094
0.020000,82.722510,126.752599,2.342074,7.380867,15.416945,15.706690,6.183286
0.020000,82.875628,126.737025,2.495982,7.695410,15.727161,15.510836,6.180361
0.020000,83.035078,126.720326,2.656304,8.016075,16.033237,15.303786,6.177317
0.020000,83.200975,126.702432,2.823163,8.342970,16.344719,15.574076,6.174153
0.020000,83.373368,126.683274,2.996618,8.672723,16.487666,7.147388,6.170868
0.020000,83.552232,126.662791,3.176651,9.001672,16.447455,-2.010573,6.167462
