dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,79.575957,111.955979,0.000048,0.004776,0.238791,11.939545,6.229042
0.020000,79.575957,111.955979,0.000239,0.014327,0.477582,11.939545,6.229036
0.020000,79.575957,111.955979,0.000669,0.028655,0.716373,11.939545,6.229025
0.020000,79.575957,111.955979,0.001433,0.047758,0.955164,11.939545,6.229004
0.020000,79.575957,111.955979,0.002627,0.071637,1.193955,11.939545,6.228972
0.020000,79.575957,111.955979,0.004346,0.100292,1.432745,11.939545,6.228926
0.020000,79.575957,111.955979,0.006686,0.133723,1.671536,11.939545,6.228862
0.020000,79.575957,111.955979,0.009743,0.171929,1.910327,11.939545,6.228780
0.020000,79.575957,111.955979,0.013611,0.214912,2.149118,11.939545,6.228675
0.020000,79.575957,111.955979,0.018387,0.262670,2.387909,11.939545,6.228546
0.020000,79.575957,111.955979,0.024166,0.315204,2.626700,11.939545,6.228390
0.020000,79.575957,111.955979,0.031043,0.372514,2.865491,11.939545,6.228205
0.020000,79.575957,111.955979,0.039114,0.434599,3.104282,11.939545,6.227987
0.020000,79.575957,111.955979,0.048475,0.501461,3.343073,11.939545,6.227734
0.020000,79.584932,111.955480,0.059220,0.573098,3.581864,11.939545,6.227444
0.020000,79.597140,111.954797,0.071446,0.649511,3.820654,11.939545,6.227114
0.020000,79.610920,111.954020,0.085248,0.730700,4.059445,11.939545,6.226742
0.020000,79.626367,111.953144,0.100722,0.816665,4.298236,11.939545,6.226324
0.020000,79.643582,111.952161,0.117963,0.907405,4.537027,11.939545,6.225859
0.020000,79.662653,111.951061,0.137066,1.002922,4.775818,11.939545,6.225344
0.020000,79.683678,111.949838,0.158127,1.103214,5.014609,11.939545,6.224776
0.020000,79.706755,111.948481,0.181242,1.208282,5.253400,11.939545,6.224152
0.020000,79.731973,111.946982,0.206506,1.318126,5.492191,11.939545,6.223471
0.020000,79.759433,111.945330,0.234015,1.432745,5.730982,11.939545,6.222730
0.020000,79.789226,111.943515,0.263864,1.552141,5.969773,11.939545,6.221925
0.020000,79.821448,111.941524,0.296148,1.676312,6.208563,11.939545,6.221055
0.020000,79.856197,111.939346,0.330964,1.805259,6.447354,11.939545,6.220117
0.020000,79.893564,111.936967,0.368407,1.938982,6.686145,11.939545,6.219108
0.020000,79.933644,111.934374,0.408571,2.077481,6.924936,11.939545,6.218027
0.020000,79.976532,111.931550,0.451554,2.220755,7.163727,11.939545,6.216869
0.020000,80.022325,111.928481,0.497449,2.368806,7.402518,11.939545,6.215634
0.020000,80.071116,111.925148,0.546354,2.521632,7.641309,11.939545,6.214318
0.020000,80.122999,111.921532,0.598362,2.679234,7.880100,11.939545,6.212919
0.020000,80.178068,111.917616,0.653571,2.841612,8.118891,11.939545,6.211435
0.020000,80.236419,111.913375,0.712074,3.008765,8.357682,11.939545,6.209863
0.020000,80.298144,111.908790,0.773969,3.180695,8.596472,11.939545,6.208200
0.020000,80.363337,111.903835,0.839350,3.357400,8.835263,11.939545,6.206445
0.020000,80.432091,111.898484,0.908313,3.538881,9.074054,11.939545,6.204595
0.020000,80.504502,111.892711,0.980953,3.725138,9.312845,11.939545,6.202647
0.020000,80.580660,111.886485,1.057366,3.916171,9.551636,11.939545,6.200600
0.020000,80.660662,111.879777,1.137648,4.111979,9.790427,11.939545,6.198450
0.020000,80.744597,111.872552,1.221893,4.312564,10.029218,11.939545,6.196196
0.020000,80.832558,111.864776,1.310198,4.517924,10.268009,11.939545,6.193836
