dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,78.764199,96.977961,0.000048,0.004776,0.238791,11.939545,6.229042
0.020000,78.764122,96.977965,0.000125,0.003869,-0.045323,-14.205720,6.229036
0.020000,78.763948,96.977974,0.000299,0.008706,0.241832,14.357790,6.229025
0.020000,78.763639,96.977991,0.000609,0.015477,0.338560,4.836373,6.229004
0.020000,78.763156,96.978017,0.001092,0.024183,0.435279,4.835955,6.228972
0.020000,78.762460,96.978055,0.001789,0.034822,0.531984,4.835269,6.228926
0.020000,78.761514,96.978106,0.002737,0.047396,0.628669,4.834249,6.228862
0.020000,78.760278,96.978174,0.003975,0.061902,0.725326,4.832827,6.228780
0.020000,78.758713,96.978259,0.005542,0.078341,0.821944,4.830934,6.228675
0.020000,78.756782,96.978364,0.007476,0.096712,0.918515,4.828503,6.228546
0.020000,78.754445,96.978492,0.009816,0.117012,1.015024,4.825461,6.228390
0.020000,78.751664,96.978645,0.012601,0.139241,1.111458,4.821738,6.228205
0.020000,78.748401,96.978825,0.015869,0.163397,1.207804,4.817261,6.227987
0.020000,78.744618,96.979035,0.019659,0.189478,1.304043,4.811953,6.227734
0.020000,78.749249,96.978777,0.024297,0.231930,2.122602,40.927940,6.227444
0.020000,78.756516,96.978370,0.031575,0.363900,6.598488,223.794304,6.227114
0.020000,78.764718,96.977908,0.039791,0.410780,2.344006,-212.724092,6.226742
0.020000,78.773913,96.977387,0.049001,0.460496,2.485802,7.089827,6.226324
0.020000,78.784162,96.976801,0.059266,0.513270,2.638697,7.644712,6.225859
0.020000,78.795516,96.976146,0.070639,0.568666,2.769807,6.555525,6.225344
0.020000,78.808035,96.975418,0.083179,0.626991,2.916230,7.321142,6.224776
0.020000,78.821776,96.974610,0.096944,0.688251,3.062996,7.338306,6.224152
0.020000,78.836794,96.973717,0.111989,0.752226,3.198786,6.789481,6.223471
0.020000,78.853150,96.972733,0.128374,0.819241,3.350715,7.596455,6.222730
0.020000,78.870896,96.971652,0.146153,0.888983,3.487117,6.820089,6.221925
0.020000,78.890092,96.970466,0.165386,0.961629,3.632318,7.260091,6.221055
0.020000,78.910797,96.969168,0.186131,1.037262,3.781626,7.465371,6.220117
0.020000,78.933065,96.967751,0.208444,1.115638,3.918806,6.859033,6.219108
0.020000,78.956953,96.966205,0.232382,1.196932,4.064711,7.295249,6.218027
0.020000,78.982521,96.964522,0.258005,1.281146,4.210703,7.299592,6.216869
0.020000,79.009826,96.962692,0.285372,1.368334,4.359384,7.434027,6.215634
0.020000,79.038926,96.960704,0.314539,1.458356,4.501124,7.087001,6.214318
0.020000,79.069877,96.958547,0.345565,1.551303,4.647315,7.309546,6.212919
0.020000,79.102738,96.956210,0.378509,1.647207,4.795195,7.394036,6.211435
0.020000,79.137568,96.953679,0.413431,1.746098,4.944554,7.467926,6.209863
0.020000,79.174424,96.950941,0.450389,1.847888,5.089528,7.248700,6.208200
0.020000,79.213364,96.947981,0.489442,1.952624,5.236777,7.362473,6.206445
0.020000,79.254448,96.944784,0.530650,2.060404,5.388996,7.610935,6.204595
0.020000,79.297736,96.941332,0.574074,2.171243,5.541986,7.649516,6.202647
0.020000,79.343284,96.937609,0.619774,2.284992,5.687402,7.270797,6.200600
0.020000,79.391154,96.933595,0.667813,2.401925,5.846684,7.964086,6.198450
0.020000,79.441406,96.929269,0.718250,2.521881,5.997769,7.554233,6.196196
0.020000,79.494098,96.924611,0.771149,2.644908,6.151351,7.679109,6.193836
0.020000,79.549293,96.919598,0.826571,2.771110,6.310132,7.939034,6.191367
0.020000,79.607052,96.914204,0.884581,2.900510,6.469965,7.991674,6.188787
0.020000,79.667437,96.908405,0.945244,3.033130,6.631002,8.051865,6.186094
0.020000,79.730510,96.902173,1.008624,3.168998,6.793411,8.120446,6.183286
0.020000,79.796333,96.895478,1.074786,3.308145,6.957377,8.198305,6.180361
0.020000,79.864970,96.888289,1.143799,3.450607,7.123105,8.286372,6.177317
0.020000,79.936485,96.880575,1.215729,3.596508,7.295034,8.596480,6.174153
0.020000,80.010917,96.872304,1.290618,3.744476,7.398385,5.167533,6.170868
0.020000,80.088271,96.863445,1.368478,3.893008,7.426584,1.409963,6.167462
0.020000,80.168558,96.853969,1.449323,4.042214,7.460315,1.686520,6.163937
0.020000,80.251791,96.843842,1.533169,4.192305,7.504573,2.212886,6.160293
0.020000,80.337977,96.833032,1.620031,4.343087,7.539068,1.724767,6.156532
0.020000,80.427130,96.821504,1.709926,4.494755,7.583402,2.216705,6.152655
0.020000,80.519262,96.809222,1.802873,4.647361,7.630310,2.345379,6.148663
0.020000,80.614388,96.796149,1.898893,4.800989,7.681409,2.554983,6.144558
0.020000,80.712523,96.782246,1.998008,4.955762,7.738660,2.862515,6.140340
0.020000,80.813681,96.767473,2.100239,5.111578,7.790785,2.606271,6.136012
0.020000,80.917882,96.751789,2.205614,5.268716,7.856923,3.306915,6.131575
0.020000,81.025142,96.735152,2.314156,5.427112,7.919802,3.143918,6.127031
0.020000,81.135482,96.717517,2.425896,5.587023,7.995530,3.786431,6.122382
0.020000,81.248921,96.698840,2.540863,5.748338,8.065730,3.510003,6.117629
0.020000,81.365482,96.679073,2.659089,5.911268,8.146509,4.038951,6.112775
0.020000,81.485189,96.658168,2.780606,6.075894,8.231316,4.240357,6.107822
0.020000,81.608065,96.636076,2.905452,6.242302,8.320369,4.452645,6.102773
0.020000,81.734136,96.612746,3.033664,6.410579,8.413877,4.675384,6.097630
0.020000,81.863429,96.588125,3.165281,6.580858,8.513966,5.004450,6.092396
0.020000,81.995975,96.562158,3.300347,6.753271,8.620614,5.332375,6.087072
0.020000,82.131801,96.534791,3.438902,6.927786,8.725779,5.258282,6.081664
0.020000,82.270941,96.505967,3.580997,7.104712,8.846305,6.026272,6.076172
0.020000,82.413427,96.475627,3.726677,7.283996,8.964168,5.893154,6.070602
0.020000,82.559292,96.443710,3.875993,7.465806,9.090510,6.317132,6.064955
0.020000,82.708573,96.410156,4.028998,7.650270,9.223219,6.635447,6.059236
0.020000,82.861307,96.374902,4.185748,7.837490,9.360984,6.888216,6.053448
0.020000,83.017532,96.337883,4.346299,8.027568,9.503908,7.146200,6.047596
0.020000,83.177288,96.299033,4.510711,8.220610,9.652076,7.408399,6.041682
0.020000,83.340617,96.258284,4.679046,8.416754,9.807207,7.756568,6.035711
0.020000,83.507561,96.215569,4.851369,8.616114,9.967995,8.039411,6.029688
0.020000,83.678164,96.170816,5.027744,8.818738,10.131220,8.161240,6.023617
0.020000,83.852470,96.123955,5.208240,9.024805,10.303355,8.606768,6.017502
0.020000,84.030528,96.074912,5.392928,9.234404,10.479915,8.827996,6.011348
0.020000,84.212383,96.023613,5.581880,9.447601,10.659880,8.998218,6.005160
0.020000,84.398085,95.969984,5.775170,9.664531,10.846477,9.329856,5.998943
0.020000,84.587683,95.913947,5.972876,9.885283,11.037617,9.557018,5.992701
0.020000,84.781228,95.855426,6.175075,10.109948,11.233227,9.780493,5.986441
0.020000,84.978772,95.794342,6.381848,10.338630,11.434132,10.045258,5.980168
0.020000,85.180368,95.730616,6.593276,10.571408,11.638890,10.237911,5.973886
0.020000,85.386068,95.664168,6.809442,10.808334,11.846282,10.369590,5.967602
0.020000,85.595928,95.594916,7.030433,11.049550,12.060813,10.726552,5.961321
